,Category,Job,Caption
151,installation_maintenance_repair,Aircraft_and_Avionics_Equipment_Mechanics_and_Technicians,a pair of three stuffed animals are standing on a smaller frisbee in the sunny day 
158,installation_maintenance_repair,Automotive_Body_and_Glass_Repairers,a group of men are standing in people 
157,installation_maintenance_repair,Diesel_Service_Technicians_and_Mechanics,a man who are riding in a hat 
161,installation_maintenance_repair,Electrical_and_Electronics_Installers_and_Repairers,a man in a yellow shirt is outside in her owner 
160,installation_maintenance_repair,General_Maintenance_and_Repair_Workers,inside a large shorts attempts to a black pants rides his face 
153,installation_maintenance_repair,Heating_Air_Conditioning_and_Refrigeration_Mechanics_and_Installers,a man hangs shot of three people riding skis 
156,installation_maintenance_repair,Heavy_Vehicle_and_Mobile_Equipment_Service_Technicians,a man in front of a button that has some  wearing some sort with a pair of a  doing the camera with a camera on a draft neck while standing side of a picture of a black and head to a giant hat in the background 
159,installation_maintenance_repair,Industrial_Machinery_Mechanics_Machinery_Maintenance_Workers_and_Millwrights,two people are using repair during a meeting at a shop 
148,installation_maintenance_repair,Line_Installers_and_Repairers,a blue and white photo of a man on a blue sky background 
150,installation_maintenance_repair,Medical_Equipment_Repairers,a group of men looking at a has a table with skis 
152,installation_maintenance_repair,Small_Engine_Mechanics,a man hangs roots in their hands of a long hair 
155,installation_maintenance_repair,Technicians_and_Mechanics,two people standing next to each other 
154,installation_maintenance_repair,Telecommunications_Equipment_Installers_and_Repairers,the man in aged man leans up tie and preparing slips at a camera while another man and white shirt 
149,installation_maintenance_repair,Wind_Turbine_Technicians,a black and a person is getting a dress standing on top under a surf board 
166,legal_occupations,Arbitrators_Mediators_and_Conciliators,a man is sitting next to a sofa are singing over two chairs near a  all and nice snowboards are layer sofa standing near a connected very bright and a wetsuit and chairs in front of a red and a very nice other furniture and a christmas colors
163,legal_occupations,Court_Reporters_and_Simultaneous_Captioners,a white vase is  grassy area and bar 
165,legal_occupations,Judges_and_Hearing_Officers,a man  playing a video game in front of a  
162,legal_occupations,Lawyers,a man and white trunks and two girls playing in front of a shirt waits for a grassy area 
164,legal_occupations,Paralegals_and_Legal_Assistants,two people dressed in a snowboarder in a  with a person holding a t shirt holding a television in the reflection in a microphone up while holding a  in a button in a man in a house looking into the large building 
187,life_physical_and_social_science,Agricultural_and_Food_Science_Technicians,this is a bunch of young men in a tree in an shoulder 
188,life_physical_and_social_science,Agricultural_and_Food_Scientists,a man in a tie with a microphone slips on a cake 
183,life_physical_and_social_science,Anthropologists_and_Archeologists,there is a brown cows herded drinking water in front of a dry grass with people walking on the sand 
179,life_physical_and_social_science,Atmospheric_Scientists_Including_Meteorologists,group of people in a large jeans and a large  rowing tied to a water set of it not is ocean 
185,life_physical_and_social_science,Biochemists_and_BiophysicistsBiochemists_and_Biophysicists,an image of cake with a cherry legs and eating disc 
168,life_physical_and_social_science,Biological_Technicians,a man in a mean are standing and white flowers in a store face 
186,life_physical_and_social_science,Chemical_Technicians,a biker staff playing ties posing for a wedding bow tie 
193,life_physical_and_social_science,Chemists_and_Materials_Scientists,two people through a stylish man in a man 
171,life_physical_and_social_science,Conservation_Scientists_and_Foresters,a person in a foal 
194,life_physical_and_social_science,Economists,a man and two men are in a triple american flag inside a very pretty break on a selfie with people 
172,life_physical_and_social_science,Environmental_Science_and_Protection_Technicians,a person standing side of a park in the daytime 
190,life_physical_and_social_science,Environmental_Scientists_and_Specialists,a person in suits talk to get his shoulders 
169,life_physical_and_social_science,Epidemiologists,couple of men and tie and a tie is having a woman in a man taking a suit wearing a suit talking on top of a shirt in a black and smile with a microphone in a giant unused  and blue shirt and holding a long hair with
184,life_physical_and_social_science,Forensic_Science_Technicians,a group of people standing in paper 
177,life_physical_and_social_science,Geographers,a man is in hats and tie grazing 
191,life_physical_and_social_science,Geological_and_Hydrologic_Technicians,a man in a  riding in a herd of a man behind him 
178,life_physical_and_social_science,Geoscientists,a man on a green river with her arm 
170,life_physical_and_social_science,Historians,a group of men are one another man in a lot of a man in a man watches something with gentlemen on a shaggy ugly looking out from another man in plaid shirt and yellow shirts well picking up a area with a birthday book 
182,life_physical_and_social_science,Hydrologists,a group of people stand and women suit leather suit near a pot on top of baggage 
167,life_physical_and_social_science,Medical_Scientists,a man and white to a reflection of a man in a suit of people stand on a blue sky 
175,life_physical_and_social_science,Microbiologists,two men are grouped together in an older singing into a spray and looking onward 
195,life_physical_and_social_science,Nuclear_Technicians,some people in suit standing in the end 
189,life_physical_and_social_science,Physicists_and_Astronomers,a man riding a  musician in a store 
192,life_physical_and_social_science,Political_Scientists,a man and a group of young woman taking two people in a green shirt and tie and playing in a baby 
173,life_physical_and_social_science,Psychologists,two people standing on something with white shirt and brown dog in the middle of his teeth 
174,life_physical_and_social_science,Sociologists,two men all his beard and smiling 
176,life_physical_and_social_science,Survey_Researchers,two women stand in suits are posing for with their arm in a man 
181,life_physical_and_social_science,Urban_and_Regional_Planners,various men riding a photo in black hat and gloves gathered together 
180,life_physical_and_social_science,Zoologists_and_Wildlife_Biologists,a man smiling couple of a man falling across a  a man with a park 
213,management,Administrative_Services_and_Facilities_Managers,two people standing in white oxen 
200,management,Advertising_Promotions_and_Marketing_Managers,a man is a very work and yellow dog in front of a dog 
217,management,Architectural_and_Engineering_Managers,a group of children walk around a herd of a group of children playing drums nearby trees skiers stand together on their kids standing around a crowd of people on a group of soccer together walk around them stand all pictures while others hit three men riding their people
212,management,Compensation_and_Benefits_Managers,there are a man in a man in  taking a man listening to the camera and putting up the air while wearing suits are being moved at a bat 
202,management,Computer_and_Information_Systems_Managers,the couple of people are competing in a large black shirt 
204,management,Construction_Managers,two men are in a picture in an elephant 
196,management,Elementary_Middle_and_High_School_Principals, man standing behind a moving through window while putting up a giant store 
218,management,Emergency_Management_Directors,a person in a blue suit stands among their colors and white dress in a group of a shallow wrong catching a wall and posing for a persons wii 
207,management,Farmers_Ranchers_and_Other_Agricultural_Managers,a man inside a large all and orange tie all each other two stages of a picture in her face 
211,management,Financial_Managers,five men in a red shirt poses among other others watch 
219,management,Food_Service_Managers,a group of men that have a blue tie in a white dress shirt holding a white oxen 
206,management,Human_Resources_Managers,a man with people are standing next to each other protects 
201,management,Industrial_Production_Managers,a group of men standing in wet suit and a grey shirt and blue and a trick on the top of a black dress suit walk by a bridge in the air on a man in red and friend has a low against a  standing on the rain
205,management,Lodging_Managers,several people in suits are talking to chats at a man standing with multiple photos on paper as they get each other people play an  dressed in front of a business suits posing for she stands behind each other men standing together in uniforms standing and scarf in
208,management,Medical_and_Health_Services_Managers,a man makes a woman cooking a shirt talking in a man waiting to a black shirt a man is eating of silver shirt and a man standing in a large rooftop and one woman looking toward a man checking his kitchen scene in suits are talking to a
215,management,Natural_Sciences_Managers,a man and smiling zebra picks up a game in his hands in this crowd posing in the camera 
214,management,Postsecondary_Education_Administrators,a man in suits and two photos in the front of a house 
198,management,Preschool_and_Childcare_Center_Directors,two people are in a main on the computer 
210,management,Property_Real_Estate_and_Community_Association_Managers,four people standing in suits are talking to help 
199,management,Public_Relations_and_Fundraising_Managers,a couple of men and smile at a rooftop  some another woman in a room preparing a pony using a woman 
209,management,Sales_Managers,a man in glasses and one person in each using two others pose together 
197,management,Social_and_Community_Service_Managers,two four men are 
216,management,Top_Executives,five skiers walk through a barn of an feet and beard watching her arms 
203,management,Training_and_Development_Managers,men and two women stand in suits looking at their smiling 
221,math,Actuaries,a man in a man sitting on a dictionary tv down a formal apartment 
220,math,Mathematicians_and_Statisticians,a girl who is sitting on the top of a laptop computer in a blue  
222,math,Operations_Research_Analysts,a man playing some suits using laptops out of a white pants wearing a white t shirt microwave and smiling 
228,media_and_communication,Announcers,an men are using two others stand together by an office stands smiling 
226,media_and_communication,Broadcast_Sound_and_Video_Technicians,a man who is standing in a  on his tie 
227,media_and_communication,Editors,two men in his woman posing for the entrance and gloves and talking on top of a  
232,media_and_communication,Film_and_Video_Editors_and_Camera_Operators,a man and black and black and two people a woman  and a red and white hair leaning on the and a blue shirt with a sandwich 
229,media_and_communication,Interpreters_and_Translators,a man in a suit and tie making a man 
231,media_and_communication,Photographers,a man squinting at a baby sprinkles wearing hats 
230,media_and_communication,Public_Relations_Specialists,a couple of a man who is in a customer 
225,media_and_communication,Reporters_Correspondents_and_Broadcast_News_Analysts,a man ties dressed in other men with a microphone in their deer 
223,media_and_communication,Technical_Writers,a man and white photo of people each other people on his cell phones 
224,media_and_communication,Writers_and_Authors,an image of people are in jeans and chairs with a photo of a  area in the green white its mouth 
233,military,military,a large gray plane at a wire run down the london 
242,office_and_administrative_support,Bill_and_Account_Collectors,two men in suit and santa claus ties while a man in a woman shoulder holding a pool at a pair of a ruffled jeans 
241,office_and_administrative_support,Bookkeeping_Accounting_and_Auditing_Clerks,a couple of people stand with a picture in front of a white stove 
236,office_and_administrative_support,Customer_Service_Representatives,two men standing next to each other still 
235,office_and_administrative_support,Desktop_Publishers,a man with a woman wearing a blue shirt and arm wearing a woman in another couple of a white shirt eating an office area 
240,office_and_administrative_support,Financial_Clerks,two men standing in a woman in a giant tie 
244,office_and_administrative_support,General_Office_Clerks,a man is standing outside in a pin 
238,office_and_administrative_support,Information_Clerks,the woman stands and white photo of art about to a team contains a  her reflection in front of her arm trunk at classroom 
245,office_and_administrative_support,Material_Recording_Clerks,a man in a group of men in a man and a fenced in front of a room in front of his television 
239,office_and_administrative_support,Police_Fire_and_Ambulance_Dispatchers,a person playing in a suit with a wedding stand together 
246,office_and_administrative_support,Postal_Service_Workers,two men in a large horns in a wood shaped area with gold with their hands standing on a sidewalk 
234,office_and_administrative_support,Receptionists,a man in swim tie sweatshirt posing with two children 
243,office_and_administrative_support,Secretaries_and_Administrative_Assistants,a man and white shirt and dress is posing with her hot dogs 
237,office_and_administrative_support,Tellers,a man and sitting on top of bikes on it 
247,personal_care_and_service,Animal_Care_and_Service_Workers,a man in a purple horses in the water 
254,personal_care_and_service,Barbers_Hairstylists_and_Cosmetologists,a hipster a man on a very young children 
248,personal_care_and_service,Childcare_Workers,five people in a young man standing next to a  and with her head against it 
255,personal_care_and_service,Fitness_Trainers_and_Instructors,a young woman is standing together in front of a woman chats to each other putting her smart office door 
252,personal_care_and_service,Funeral_Service_Workers,a man in an umbrella behind it 
250,personal_care_and_service,Gambling_Services_Workers,a man riding a juggler nose in an apron doing a class in the sky 
253,personal_care_and_service,Manicurists_and_Pedicurists,a young man that is holding two girls in her fur stands by wearing their arms holding a wave with a log 
249,personal_care_and_service,Recreation_Workers,a group of people are in a field with a group of three kids walking across a palm trees and snowboards 
251,personal_care_and_service,Skincare_Specialists,a man at a  at a pillow near a small wooden table with a table with a couch sofa on a another with a large white dog and looking at a kitchen trunk on a couch lighting and a small sofa 
268,production,Assemblers_and_Fabricators,three people are playing some trunk walking by a logs 
259,production,Bakers,a man is taking a dog out in front of a fire place 
269,production,Butchers,a boy smiling man using a phone 
257,production,Dental_and_Ophthalmic_Laboratory_Technicians_and_Medical_Appliance_Technicians,a person riding on a large african style clothing 
264,production,Food_and_Tobacco_Processing_Workers,a man is a purple tall bow rug in head on a large colors 
256,production,Jewelers_and_Precious_Stone_and_Metal_Workers,a women who is next to a room in front of a  in a  the time as his kids stand in front of bananas 
263,production,Machinists_and_Tool_and_Die_Makers,two men pointing a man on refrigerator and tongs 
258,production,Metal_and_Plastic_Machine_Workers,a man and suit  something is seen hanging on a white table 
261,production,Painting_and_Coating_Workers,two cats stand inside of shower 
270,production,Power_Plant_Operators_Distributors_and_Dispatchers,a man riding a air shot of a suit and suit in a  by a piece of a  
266,production,Quality_Control_Inspectors,a man is in a young boy is standing at a zoo trunk 
260,production,Stationary_Engineers_and_Boiler_Operators,a picture of people standing in a broom 
265,production,Water_and_Wastewater_Treatment_Plant_and_System_Operators,some people tries to each other 
267,production,Welders_Cutters_Solderers_and_Brazers,a large small large old  of sheep are in green british banquet 
262,production,Woodworkers,a man in  in a dress 
273,protective_service,Correctional_Officers_and_Bailiffs,a woman in a young woman in a woman in a floral arrives hand 
275,protective_service,Fire_Inspectors,a woman that is in front of water with glasses and walking on the clear glass and vest next to a table 
274,protective_service,Firefighters,a woman are standing together in a man next to each other animals on wooden jet observe a very woman 
271,protective_service,Police_and_Detectives,a person who is working a motor way down on top of a dog 
276,protective_service,Private_Detectives_and_Investigators,a man in asian working together in a blanket 
272,protective_service,Security_Guards_and_Gambling_Surveillance_Officers,a boy in a large black hat walking on a frisbee near trees 
280,sales,Advertising_Sales_Agents,a man and women boarding in a long young woman with a  off some dress walks by each other 
278,sales,Cashiers,five people using a very serious are standing in a blue and brown and tie and white cows stand together in suits sitting on some chefs lined on display shop 
279,sales,Insurance_Sales_Agents,two men in each other arm stands while in a phone 
283,sales,Models,a boy in a man holding a dog takes a man with a crib with one is posing with a woman in front of a pair of a pink shirt holding something in each other playing disc 
281,sales,Real_Estate_Brokers_and_Sales_Agents,the man and a man smile to the bed in the middle of a picture of owls to her head out 
286,sales,Retail_Sales_Workers,a woman walking though public wear by  
277,sales,Sales_Engineers,two photos of people taking a house talking to text out of a blue and talking to walk convention 
284,sales,Securities_Commodities_and_Financial_Services_Sales_Agents,two people are standing around a home 
282,sales,Travel_Agents,two men who is reading something with a  on the floor 
285,sales,Wholesale_and_Manufacturing_Sales_Representatives,a man in a small  in a large floral 
289,transportation_and_material_moving,Air_Traffic_Controllers,a couple of swan end of a drums 
293,transportation_and_material_moving,Airline_and_Commercial_Pilots,a group of women in the baby and skinny carriage walking along 
288,transportation_and_material_moving,Delivery_Truck_Drivers_and_Driver_Sales_Workers,a man has a man on a stand in the trunk on the camera 
292,transportation_and_material_moving,Flight_Attendants,a man and smiling  
290,transportation_and_material_moving,Hand_Laborers_and_Material_Movers,a man in another person in an old man and a man sits in lounge counter with her men with three people standing on a couch and a pair of women wearing glasses 
294,transportation_and_material_moving,Heavy_and_Tractor-trailer_Truck_Drivers,someone carry letters a suit strapped down a road 
287,transportation_and_material_moving,Material_Moving_Machine_Operators,a man in a hat and guitar 
291,transportation_and_material_moving,Passenger_Vehicle_Drivers,there is a bus stopped at a light with a building with umbrellas 
295,transportation_and_material_moving,Railroad_Workers,two people are featured in a red and train suitcase next to daisies in a secluded area with a very city area 
296,transportation_and_material_moving,Water_Transportation_Workers,a person riding a picture painted a brown cat talking on top of a group of two black shirt 
